period,account,amount
2024,Net Income,104000000
2024,D&A,40000000
2024,Working Capital Changes,-150000000
2024,CFO,-6000000
2024,CapEx,-25000000
2024,Other Investing,-5000000
2024,CFI,-30000000
2024,Debt Issuance,200000000
2024,Debt Repayment,-120000000
2024,Equity Raise,0
2024,CFF,80000000
2024,Net Change in Cash,44000000
2024,Beginning Cash,156000000
2024,Ending Cash,200000000
2025,Net Income,40300000
2025,D&A,48000000
2025,Working Capital Changes,-360000000
2025,CFO,-271700000
2025,CapEx,-45000000
2025,Other Investing,-8000000
2025,CFI,-53000000
2025,Debt Issuance,500000000
2025,Debt Repayment,-225300000
2025,Equity Raise,0
2025,CFF,274700000
2025,Net Change in Cash,-50000000
2025,Beginning Cash,200000000
2025,Ending Cash,150000000
