period,account,amount
2024,Revenue,1200000000
2024,COGS,-480000000
2024,Gross Profit,720000000
2024,SG&A,-300000000
2024,R&D,-15000000
2024,Other OpEx,-25000000
2024,EBITDA,380000000
2024,D&A,-40000000
2024,EBIT,340000000
2024,Interest,-180000000
2024,Pre-tax Income,160000000
2024,Tax,-56000000
2024,Net Income,104000000
2025,Revenue,1450000000
2025,COGS,-620000000
2025,Gross Profit,830000000
2025,SG&A,-360000000
2025,R&D,-18000000
2025,Other OpEx,-32000000
2025,EBITDA,420000000
2025,D&A,-48000000
2025,EBIT,372000000
2025,Interest,-310000000
2025,Pre-tax Income,62000000
2025,Tax,-21700000
2025,Net Income,40300000
